wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
9,6,0,9,34,28,0,9,6,0.8125,166,1,0,0.950617284,0.4,4,9,17.22222222,2,1,1
8,4,0,7,37,4,0,7,7,0.714285714,277,1,0,0.917647059,0.46875,4,4,32.875,5,1.375,0
4,3,0,8,39,0,0,8,4,0.333333333,200,1,0,0.925,0.5,1,1,48.5,1,0.75,0
15,3,0,16,77,69,0,16,10,0.826530612,504,1,0,0.725490196,0.233333333,1,1,32.13333333,6,1.4,0
11,5,0,13,30,5,4,9,9,0.65,168,1,0,0.91,0.327272727,2,10,13.90909091,3,1.2727,1
1,1,0,5,1,0,4,1,1,2,1,0,0,0,1,0,0,0,1,1,0
19,3,0,16,117,35,1,15,11,0.823232323,849,0.909090909,1,0.672727273,0.305263158,2,3,43.10526316,12,2.2105,1
2,3,0,3,7,1,1,3,2,2,23,0,0,0.96969697,1,0,0,10.5,1,0.5,0
4,1,0,5,4,6,4,1,4,2,4,0,0,0,0.5,0,0,0,1,1,0
16,4,2,19,56,48,2,17,10,0.745454545,757,1,4,0.836956522,0.19375,3,7,45.625,14,2.5,0
7,3,0,7,21,0,0,7,7,0.625,144,1,0,0.860465116,0.342857143,1,1,19,5,1.4286,0
5,1,0,11,5,10,11,0,5,2,5,0,0,0,0.533333333,0,0,0,1,1,0
3,3,0,6,21,0,1,6,3,0,146,1,0,0.948717949,0.666666667,0,0,47.33333333,1,0.6667,0
1,1,0,9,1,0,8,1,1,2,1,0,0,0,1,0,0,0,1,1,0
7,5,0,5,17,0,1,4,5,0.777777778,107,1,0,0.848484848,0.476190476,2,5,13.85714286,5,1.2857,0
3,1,1,7,9,0,5,2,3,0,47,1,0,0,0.666666667,0,0,14.33333333,1,0.6667,0
18,4,0,13,90,87,1,13,14,0.849264706,778,1,0,0.782051282,0.188888889,4,4,41.33333333,1,0.9444,1
10,4,0,16,36,3,4,12,10,0.583333333,246,1,2,0.795454545,0.266666667,1,3,23.2,7,2.3,0
20,3,0,14,67,130,1,13,16,0.846889952,812,1,4,0.660714286,0.25,1,1,39.05,25,3.05,0
1,1,0,15,1,0,14,1,1,2,1,0,0,0,1,0,0,0,1,1,0
21,3,0,10,82,184,1,9,10,0.683333333,719,1,2,0.6,0.226190476,1,3,33.0952381,4,1.9048,1
8,5,0,6,26,0,1,5,5,0.571428571,164,1,0,0.823529412,0.375,2,5,19.125,4,1.125,0
4,3,0,6,16,0,0,6,4,0.333333333,46,1,0,0.925,0.625,1,1,10.25,1,0.75,0
19,1,0,12,103,133,1,12,3,0.81372549,1720,0.882352941,0,0,0.141414141,0,0,88.63157895,11,2.5263,1
3,2,0,9,26,3,1,8,2,2,147,0,0,0.92,1,1,1,48,10,3.6667,0
8,5,0,9,23,0,4,5,8,0.761904762,198,0.5,0,0.844444444,0.35,1,4,23,6,2.25,0
4,2,0,4,15,0,1,3,4,0.333333333,109,1,0,0.75,0.5,0,0,25.75,1,0.75,1
3,4,0,4,20,3,0,4,1,1.5,124,1,0,0.960784314,1,2,3,40,8,3,0
18,4,0,12,82,83,1,12,11,0.960151803,1238,1,1,0.821052632,0.181818182,2,2,66.05555556,8,1.8333,1
3,1,0,3,3,3,2,1,3,2,3,0,0,0,0.666666667,0,0,0,1,1,0
2,3,0,0,3,1,0,0,2,2,7,0,0,0.909090909,0.75,1,1,2.5,1,0.5,0
3,1,0,3,17,0,2,1,3,0.25,196,1,0,0,0.666666667,0,0,63,2,1,0
15,3,2,10,47,73,2,8,12,0.865079365,452,1,1,0.725490196,0.225,1,1,28.53333333,12,1.8,0
1,1,0,8,1,0,6,2,1,2,1,0,0,0,1,0,0,0,1,1,0
3,4,0,5,24,3,0,5,1,1.5,163,1,0,0.960784314,1,2,3,53,11,4,0
13,1,1,15,66,78,10,7,12,1.083333333,476,0,0,0,0.207692308,0,0,35.46153846,2,1,0
5,2,0,1,20,0,1,0,4,0.75,106,0.333333333,0,0.921568627,0.466666667,0,0,19.6,2,1,1
27,1,0,10,60,145,1,9,26,0.648351648,401,1,4,0,0.314814815,0,0,13.59259259,6,1.5185,0
7,5,0,5,19,1,1,4,5,0.523809524,285,1,0,0.848484848,0.476190476,2,5,38.71428571,4,1.1429,0
81,3,0,35,213,2518,7,35,74,0.94,2199,0.966666667,10,0.318965517,0.1375,3,3,25.77777778,13,1.6543,1
5,2,0,5,37,4,0,5,2,0.5,250,1,0,0.8,0.5,1,3,48.8,11,2.8,0
12,3,0,11,64,0,0,11,9,0.618181818,581,1,0,0.770833333,0.238095238,0,0,47,20,3.4167,0
11,2,0,12,15,13,9,4,11,0.75,97,1,3,0.2,0.220779221,0,0,7.272727273,1,0.7273,0
21,5,2,15,83,142,2,13,8,0.78,799,1,5,0.862068966,0.186507937,3,7,36.57142857,9,1.5238,0
21,4,0,11,56,24,0,11,19,0.7875,715,1,0,0.795918367,0.285714286,3,4,32.66666667,16,2.1905,0
3,4,0,8,22,0,0,8,2,0,104,1,1,0.962264151,0.5,2,2,33.33333333,5,2,0
6,3,0,9,32,0,0,9,6,0.6,216,1,2,0.880952381,0.333333333,2,2,34.5,1,0.8333,0
20,1,0,4,42,130,0,4,18,0.736842105,376,1,1,0,0.284210526,0,0,17.45,3,1.15,0
13,1,2,9,20,46,7,2,8,0.666666667,111,1,0,0,0.615384615,0,0,7.230769231,1,0.7692,1
8,5,0,6,26,0,1,5,5,0.571428571,167,1,0,0.823529412,0.375,2,5,19.5,4,1.125,0
36,3,11,35,84,0,11,24,35,0.485714286,302,1,1,0.513888889,0.0875,2,2,7.333333333,6,1.1944,0
10,1,0,10,47,11,1,9,10,0.75,329,1,3,0,0.2125,0,0,31.1,6,1.5,1
5,1,0,1,6,0,1,0,5,0.5,30,1,0,0,0.7,0,0,4.6,1,0.8,0
2,6,0,4,4,1,0,4,1,2,11,0,0,0.987179487,0.666666667,0,0,4.5,1,0.5,0
3,1,0,0,7,0,0,0,3,0,19,1,0,0,0.666666667,0,0,5,1,0.6667,0
10,3,0,2,20,21,0,2,9,0.6,130,1,0,0.804347826,0.4,1,1,11.5,1,0.9,0
29,1,0,28,120,396,25,6,25,0.928571429,1348,0.8,0,0,0.278571429,0,0,45.31034483,29,2.6207,1
3,2,0,5,12,3,1,4,1,2,40,0,0,0.857142857,0.666666667,0,0,12.33333333,1,0.6667,0
5,1,1,28,11,4,26,2,5,0.25,54,1,0,0,0.533333333,0,0,9.6,1,0.6,0
17,5,0,15,57,22,0,15,15,0.583333333,298,1,1,0.869918699,0.264705882,4,7,16.35294118,4,1.2353,0
6,1,0,14,24,15,14,0,5,1,116,0,0,0,0.3,0,0,18.16666667,2,1,0
9,3,0,4,41,14,0,4,8,0.791666667,334,1,0,0.822222222,0.355555556,1,1,35.44444444,11,2,1
6,3,0,7,24,9,4,4,5,0.8,231,0.5,0,0.880952381,0.266666667,1,1,37.16666667,1,0.8333,1
7,5,0,5,22,0,1,4,5,0.555555556,150,1,0,0.848484848,0.476190476,2,5,20,4,1.1429,0
2,2,0,7,13,1,1,6,2,2,66,1,0,0.958333333,1,0,0,31.5,1,0.5,0
7,5,0,5,18,0,1,4,5,0.555555556,113,1,0,0.848484848,0.476190476,2,4,14.71428571,4,1.1429,0
19,1,8,23,92,81,8,15,4,0.712560386,899,1,9,0,0.23015873,0,0,45.10526316,30,4.2632,1
4,2,0,4,16,0,0,4,4,0.333333333,59,1,0,0.842105263,0.875,1,1,13.5,5,1.75,0
29,1,0,5,66,348,2,3,12,0.810714286,567,0.9,2,0,0.317241379,0,0,18.20689655,11,1.3793,0
4,4,9,12,7,4,9,3,3,0.666666667,22,1,1,0.928571429,0.5,0,0,4.25,1,0.5,0
1,1,0,2,1,0,2,0,1,2,1,0,0,0,1,0,0,0,1,1,0
16,1,3,13,38,80,6,7,12,0.876190476,334,0.857142857,0,0,0.285714286,0,0,19.4375,8,1.6875,0
16,3,0,3,38,84,1,2,16,0.674074074,541,1,2,0.580645161,0.25,2,8,32.25,1,0.8125,0
1,1,0,18,1,0,17,1,1,2,1,0,0,0,1,0,0,0,1,1,0
2,4,0,4,4,0,1,3,1,0,16,1,1,0.9375,0.666666667,1,1,6.5,1,0.5,0
5,1,0,3,9,0,1,2,5,0.666666667,64,1,0,0,0.533333333,0,0,11.2,1,0.8,0
9,2,0,12,50,24,8,6,2,0.85,288,1,1,0.68,0.296296296,1,1,30.44444444,2,1,0
7,6,0,9,32,13,0,9,4,0.75,150,1,0,0.9625,0.4,4,9,20.14285714,2,1,1
2,6,0,4,4,1,0,4,1,2,11,0,0,0.987179487,0.666666667,0,0,4.5,1,0.5,0
7,5,0,5,18,0,1,4,5,0.708333333,126,1,0,0.848484848,0.476190476,2,5,16.42857143,5,1.2857,0
11,1,0,4,34,0,3,1,1,0.785714286,312,1,0,0,0.85,0,0,26.09090909,3,1.7273,0
6,1,0,7,6,15,6,1,6,1.2,10,0,0,0,0.722222222,0,0,0,1,1,0
10,3,4,16,21,23,14,2,5,0.666666667,149,1,1,0.692307692,0.228571429,1,2,13.7,1,0.8,0
17,4,0,7,81,40,4,3,10,0.823863636,1178,0.909090909,8,0.516129032,0.25,2,4,67,2,1,0
10,1,0,3,13,31,1,2,10,0.703703704,76,1,1,0,0.375,0,0,6.3,2,1.1,0
13,3,0,12,43,36,3,10,7,0.638888889,424,1,0,0.755102041,0.320512821,1,6,31.38461538,4,1.8462,0
9,2,0,5,20,0,3,2,9,0.5,141,1,0,0.6,0.416666667,0,0,14.22222222,1,0.6667,1
6,3,0,3,30,0,0,3,5,0.6,1262,1,0,0.880952381,0.555555556,1,1,208.6666667,2,1,0
5,1,10,98,7,0,98,1,5,0,33,1,1,0,0.45,0,0,5.4,2,1,0
2,4,0,4,12,1,0,4,1,2,55,0,0,0.980392157,1,1,2,26.5,4,2,0
18,2,5,18,23,0,5,16,16,0,110,1,0,0.346153846,0.114583333,0,0,5.055555556,1,0.9444,0
12,5,0,6,37,0,1,5,7,0.696969697,308,1,0,0.736842105,0.3,2,5,24.16666667,7,1.3333,0
5,1,0,4,20,0,0,4,4,0.333333333,144,1,1,0,0.9,0,0,27.2,5,2.2,0
23,3,1,14,73,151,1,13,23,0.921717172,668,0.777777778,2,0.627118644,0.207729469,3,3,27.26086957,26,2.3913,1
3,2,0,6,38,3,1,5,1,2,198,0,0,0.9,0.555555556,1,1,65,6,2.3333,0
14,4,0,193,26,0,192,1,14,0.384615385,153,1,1,0.65,0.333333333,1,2,9.785714286,2,0.6429,0
5,2,0,11,24,10,1,10,4,1,133,0,0,0.764705882,0.5,0,0,25.4,1,0.8,0
33,2,0,6,43,322,3,4,6,0.859375,4244,0.761904762,1,0.138888889,0.257575758,1,1,126.3333333,32,5.6061,0
7,1,0,1,20,19,1,0,4,1.037037037,197,0.666666667,0,0,0.266666667,0,0,25.85714286,4,1.1429,0
2,3,0,3,8,1,1,3,2,2,33,0,0,0.96969697,1,0,0,15.5,1,0.5,0
19,1,0,19,19,171,3,16,19,2,19,0,0,0,0.108359133,0,0,0,1,1,0
8,3,0,4,17,18,0,4,6,0.714285714,112,1,0,0.840909091,0.75,0,0,12.625,4,1.75,0
6,3,0,5,22,1,0,5,6,0.7,137,1,0,0.880952381,0.416666667,3,3,21.16666667,1,0.8333,0
91,1,0,157,212,3687,148,17,77,0.97047619,2452,0.6,4,0,0.105494505,0,0,25.56043956,6,1.4945,0
16,1,0,6,36,58,1,5,13,0.633333333,363,1,0,0,0.2421875,0,0,21.3125,5,1.75,0
72,4,0,27,116,2338,11,18,65,0.96400626,900,1,6,0.523489933,0.206349206,1,1,11.125,8,1.4722,0
11,4,0,17,83,11,0,17,9,0.916666667,671,0.25,2,0.886363636,0.25,2,2,58.90909091,2,1,1
3,1,0,1,3,3,1,0,3,1.5,4,0,0,0,0.666666667,0,0,0,1,1,0
7,1,0,3,11,3,3,0,7,0.583333333,53,1,0,0,0.714285714,0,0,6.285714286,2,0.8571,0
1,1,0,3,1,0,3,1,1,2,1,0,0,0,1,0,0,0,1,1,0
3,2,0,8,22,3,1,7,2,1,152,0,0,0.866666667,0.5,0,0,48.66666667,1,0.6667,0
6,2,0,3,11,13,2,1,6,0.8,68,1,0,0.924242424,0.444444444,1,5,10.16666667,3,1.5,0
7,5,0,8,26,0,4,4,7,0.666666667,261,0,0,0.863636364,0.342857143,2,5,35.71428571,8,3,0
21,3,0,12,62,134,7,6,15,0.6,630,1,0,0.6,0.272108844,1,1,28.80952381,9,3,0
4,1,0,13,23,6,1,12,1,2,195,0,0,0,0.333333333,0,0,47.75,1,0.75,0
31,3,0,20,103,209,0,20,25,0.82,673,1,2,0.552238806,0.161290323,1,3,20.38709677,2,1.0323,1
3,1,0,11,24,1,7,4,3,0,264,1,2,0,0.666666667,0,0,86.33333333,13,5,0
8,1,26,46,14,20,45,1,7,0.714285714,87,1,0,0,0.6875,0,0,9.625,5,1.5,0
4,3,0,5,9,2,0,5,4,0.666666667,48,1,0,0.925,0.5,0,0,10.5,1,0.75,0
8,1,0,4,39,22,1,3,6,0.785714286,377,0.5,0,0,0.166666667,0,0,45.875,3,1.25,0
23,4,4,19,40,223,6,19,23,0.045454545,179,1,0,0.614035088,0.09382151,0,0,6.739130435,4,1.2609,0
42,2,0,20,115,703,14,8,25,0.881899872,1369,0.684210526,1,0.478873239,0.176829268,1,5,31.14285714,12,1.9286,0
8,3,0,10,37,0,0,10,6,0.628571429,315,1,1,0.840909091,0.325,0,0,37.75,1,0.875,0
4,3,0,3,17,4,0,3,3,0.666666667,152,1,0,0.925,0.75,1,1,36.75,1,0.75,0
